idxcell,idycell,idzcell,Temperature
1,1,1,320.5
1,2,1,320.67241379310343
1,3,1,320.8448275862069
1,4,1,321.01724137931035
1,5,1,321.1896551724138
1,6,1,321.36206896551727
1,7,1,321.5344827586207
1,8,1,321.7068965517241
1,9,1,321.87931034482756
1,10,1,322.05172413793105
1,11,1,322.2241379310345
1,12,1,322.3965517241379
1,13,1,322.5689655172414
1,14,1,322.7413793103448
1,15,1,322.91379310344826
1,16,1,323.08620689655174
1,17,1,323.2586206896552
1,18,1,323.4310344827586
1,19,1,323.6034482758621
1,20,1,323.7758620689655
1,21,1,323.94827586206895
1,22,1,324.12068965517244
1,23,1,324.2931034482759
1,24,1,324.4655172413793
1,25,1,324.63793103448273
1,26,1,324.8103448275862
1,27,1,324.98275862068965
1,28,1,325.1551724137931
1,29,1,325.32758620689657
1,30,1,325.5
